MAG_Id	total_length	num_contigs	N50	GC_content	Anvio-Comp	Anvio-Red	Unique_markers	Multicopy	Domain
TARA_IOS_MAG_00040	1148126	233	5498	34.81	78.31	2.79	36	2	Bacteria
TARA_IOS_MAG_00041	3169777	526	6853	54.52	76.50	2.09	31	0	Bacteria
TARA_IOS_MAG_00042	1091690	228	4962	38.22	75.29	1.36	32	2	Bacteria
TARA_IOS_MAG_00043	1142596	43	39749	29.92	75.09	1.26	35	0	Bacteria
TARA_IOS_MAG_00044	2267338	323	8819	51.12	76.49	2.70	35	0	Bacteria
TARA_IOS_MAG_00046	1601565	241	8256	52.83	78.51	5.14	39	1	Bacteria
TARA_IOS_MAG_00048	1072262	198	5956	32.53	72.34	0.36	34	0	Bacteria
TARA_IOS_MAG_00049	1938880	421	4775	48.22	72.21	2.13	34	0	Bacteria
TARA_IOS_MAG_00050	1469026	119	19811	34.34	75.46	5.70	35	2	Bacteria
TARA_IOS_MAG_00051	1337394	230	6369	27.26	75.20	5.93	25	1	Bacteria
TARA_IOS_MAG_00052	1763461	229	9802	30.92	72.71	4.09	25	0	Bacteria
TARA_IOS_MAG_00053	704182	108	8266	31.10	73.10	4.77	36	0	Bacteria
TARA_IOS_MAG_00054	821453	164	5646	32.72	71.69	3.38	34	0	Bacteria
TARA_IOS_MAG_00055	1983425	444	4489	50.48	71.18	2.93	35	0	Bacteria
TARA_IOS_MAG_00056	1337953	292	4792	40.82	71.92	5.29	34	3	Bacteria
TARA_IOS_MAG_00057	3008856	489	7295	56.05	72.41	6.13	37	0	Bacteria
TARA_IOS_MAG_00058	2278176	478	5115	52.66	62.93	2.15	27	0	Bacteria
TARA_IOS_MAG_00059	2317905	468	5045	41.10	60.51	2.80	28	1	Bacteria
TARA_IOS_MAG_00060	2848082	476	6689	57.30	61.93	7.83	24	1	Bacteria
TARA_IOS_MAG_00061	2227962	382	6618	53.31	49.38	4.23	21	0	Bacteria
TARA_IOS_MAG_00062	2188516	565	3887	62.61	44.77	1.26	16	0	Bacteria
TARA_IOS_MAG_00063	2753388	107	39800	56.45	42.19	2.46	7	0	Bacteria
TARA_IOS_MAG_00064	2244211	555	4035	63.61	41.01	2.15	20	0	Bacteria
TARA_IOS_MAG_00065	2013982	438	4784	50.99	37.99	1.79	14	0	Bacteria
TARA_IOS_MAG_00066	3094410	693	4610	65.06	37.10	1.12	9	0	Bacteria
TARA_IOS_MAG_00067	2931784	357	10818	57.96	38.12	4.09	14	0	Bacteria
TARA_IOS_MAG_00069	2768772	664	4215	59.87	32.44	3.20	7	0	Bacteria
TARA_IOS_MAG_00070	2207053	424	5523	50.87	29.13	1.17	12	0	Bacteria
TARA_MED_MAG_00001	1412765	25	80000	29.08	96.58	2.17	42	0	Bacteria
TARA_MED_MAG_00002	1431420	37	60279	34.12	95.45	1.77	42	0	Bacteria
TARA_MED_MAG_00003	3362945	77	65336	50.59	95.95	2.53	42	0	Bacteria
TARA_MED_MAG_00004	2106270	141	21624	58.72	96.99	3.80	42	0	Bacteria
TARA_MED_MAG_00005	1647124	120	20668	33.26	94.81	1.72	41	1	Bacteria
TARA_MED_MAG_00006	2951863	29	193837	45.84	97.84	4.92	43	0	Bacteria
TARA_MED_MAG_00007	2997082	11	476665	58.67	98.47	5.63	43	0	Bacteria
TARA_MED_MAG_00008	2307908	220	13796	56.41	97.43	4.78	42	1	Bacteria
TARA_MED_MAG_00009	1174934	110	17168	42.41	94.96	2.44	42	0	Bacteria
TARA_MED_MAG_00010	2737786	224	17615	37.84	95.41	2.95	43	0	Bacteria
TARA_MED_MAG_00011	2170755	121	30718	38.29	95.45	3.09	42	0	Bacteria
TARA_MED_MAG_00012	1663360	100	25409	42.85	95.19	2.84	41	0	Bacteria
TARA_MED_MAG_00013	1262638	41	40000	29.00	95.86	3.53	43	0	Bacteria
TARA_MED_MAG_00014	4390070	204	35233	47.86	96.67	4.56	42	0	Bacteria
TARA_MED_MAG_00015	1779538	54	54932	37.62	96.31	4.27	42	1	Bacteria
TARA_MED_MAG_00016	1639879	19	120000	28.75	96.45	4.51	43	0	Bacteria
TARA_MED_MAG_00017	2869724	171	29118	42.80	95.91	4.00	43	0	Bacteria
TARA_MED_MAG_00018	1550848	45	47111	33.21	94.73	2.84	42	0	Bacteria
TARA_MED_MAG_00019	1524236	70	37484	26.42	95.82	3.93	42	0	Bacteria
TARA_MED_MAG_00020	1576433	35	73507	27.45	95.64	4.00	42	0	Bacteria
TARA_MED_MAG_00021	2315206	90	50935	34.03	94.87	3.53	42	0	Bacteria
TARA_MED_MAG_00022	1808860	23	158931	38.41	94.35	3.06	41	0	Bacteria
TARA_MED_MAG_00023	1928213	26	121416	44.25	95.37	4.09	42	0	Bacteria
TARA_MED_MAG_00024	1872758	130	28877	43.11	95.14	3.93	42	0	Bacteria
TARA_MED_MAG_00025	1258022	70	35739	28.32	94.51	3.35	41	0	Bacteria
TARA_MED_MAG_00026	1378810	71	43262	38.81	92.53	1.59	42	0	Bacteria
TARA_MED_MAG_00027	1825475	233	9462	29.65	92.48	1.55	42	0	Bacteria
TARA_MED_MAG_00028	1537072	29	80000	34.38	94.15	3.53	43	0	Bacteria
TARA_MED_MAG_00029	2295313	53	93296	51.91	95.86	5.37	40	1	Bacteria
TARA_MED_MAG_00030	1775473	204	11918	42.66	96.98	6.72	43	0	Bacteria
TARA_MED_MAG_00031	3397978	337	14092	55.25	95.01	4.78	43	0	Bacteria
TARA_MED_MAG_00032	1252970	47	45406	31.40	92.78	2.80	42	0	Bacteria
TARA_MED_MAG_00033	1761443	42	72734	44.12	93.68	3.82	40	0	Bacteria
TARA_MED_MAG_00034	1959070	204	12125	47.58	91.07	1.36	41	0	Bacteria
TARA_MED_MAG_00035	1551707	186	10141	37.49	92.64	3.49	41	0	Bacteria
TARA_MED_MAG_00036	2210280	231	13461	42.27	90.91	1.77	42	0	Bacteria
TARA_MED_MAG_00037	2884649	67	67301	64.85	98.33	9.27	38	2	Bacteria
TARA_MED_MAG_00038	2950023	348	10743	52.59	93.93	5.01	42	0	Bacteria
TARA_MED_MAG_00039	1367825	50	38371	28.11	93.62	4.70	40	1	Bacteria
TARA_MED_MAG_00040	1716686	142	19067	35.90	89.69	1.10	40	1	Bacteria
TARA_MED_MAG_00041	3616687	299	18788	49.05	90.16	2.17	41	0	Bacteria
TARA_MED_MAG_00042	1495481	110	27281	27.63	90.42	2.75	41	0	Bacteria
TARA_MED_MAG_00043	1095487	41	37133	29.80	92.35	4.71	43	0	Bacteria
TARA_MED_MAG_00044	1979555	206	12572	43.02	91.59	4.49	42	1	Bacteria
TARA_MED_MAG_00045	1948575	234	10583	53.58	89.16	2.42	41	0	Bacteria
TARA_MED_MAG_00046	2959786	90	70003	53.13	91.62	4.96	43	0	Bacteria
TARA_MED_MAG_00047	1531601	121	17229	47.19	90.24	3.82	38	0	Bacteria
TARA_MED_MAG_00048	1531502	243	7478	62.21	91.67	5.48	41	0	Bacteria
TARA_MED_MAG_00049	1389229	20	110017	29.78	87.80	1.70	41	0	Bacteria
TARA_MED_MAG_00050	1396903	200	8302	28.92	89.91	3.89	41	0	Bacteria
TARA_MED_MAG_00051	967888	90	15672	31.15	88.75	2.84	38	0	Bacteria
TARA_MED_MAG_00052	1678367	107	32916	44.11	89.81	4.16	39	1	Bacteria
TARA_MED_MAG_00054	1233820	18	100248	29.27	88.63	3.89	40	0	Bacteria
TARA_MED_MAG_00055	1381381	107	19287	46.76	87.53	2.80	41	0	Bacteria
TARA_MED_MAG_00056	2649290	344	9444	52.56	91.02	6.55	40	1	Bacteria
TARA_MED_MAG_00057	1812124	90	29831	53.84	89.30	5.18	30	1	Bacteria
TARA_MED_MAG_00058	3389560	375	11475	51.70	90.12	6.03	37	0	Bacteria
TARA_MED_MAG_00059	1210435	95	25059	33.50	89.74	5.74	41	0	Bacteria
TARA_MED_MAG_00061	970962	82	15346	35.35	89.21	5.34	37	0	Bacteria
TARA_MED_MAG_00062	1283464	190	8032	36.01	91.45	7.60	42	1	Bacteria
TARA_MED_MAG_00063	1652883	220	9676	34.10	87.96	4.18	39	0	Bacteria
TARA_MED_MAG_00064	1112207	139	10234	33.13	87.50	3.75	41	0	Bacteria
TARA_MED_MAG_00065	1791206	63	52671	42.95	87.94	4.20	38	0	Bacteria
TARA_MED_MAG_00066	1166754	41	34460	30.27	87.36	3.93	41	0	Bacteria
TARA_MED_MAG_00067	1295446	28	72714	33.54	87.62	4.20	40	0	Bacteria
TARA_MED_MAG_00068	2571986	370	7912	52.61	87.68	4.71	39	1	Bacteria
TARA_MED_MAG_00069	1485384	141	14652	34.70	84.47	1.54	36	0	Bacteria
TARA_MED_MAG_00070	886127	112	10503	31.40	90.79	8.09	39	1	Bacteria
TARA_MED_MAG_00071	852559	119	8461	32.00	86.22	3.76	41	0	Bacteria
TARA_MED_MAG_00072	1996491	332	6935	36.77	84.01	1.66	37	0	Bacteria
TARA_MED_MAG_00073	1545674	258	6854	52.68	86.78	4.49	40	0	Bacteria
TARA_MED_MAG_00074	2446339	208	17628	45.34	85.95	4.31	35	0	Bacteria
TARA_MED_MAG_00076	1475546	86	22424	37.40	84.50	3.20	40	0	Bacteria
TARA_MED_MAG_00077	2025414	110	31587	32.47	84.48	3.53	37	0	Bacteria
TARA_MED_MAG_00078	1717290	205	10828	42.48	86.61	5.69	36	0	Bacteria
TARA_MED_MAG_00081	731674	17	60721	30.05	83.97	3.35	42	0	Bacteria
TARA_MED_MAG_00082	1820885	108	25506	50.69	84.05	3.46	29	0	Bacteria
TARA_MED_MAG_00083	1572137	176	11263	56.49	84.30	3.82	36	0	Bacteria
TARA_MED_MAG_00084	1370752	220	7392	28.76	83.00	2.86	35	0	Bacteria
TARA_MED_MAG_00085	2598995	330	9819	55.28	86.25	6.95	37	1	Bacteria
TARA_MED_MAG_00086	3341961	296	18280	51.99	83.98	5.08	29	0	Bacteria
TARA_MED_MAG_00087	1220351	191	7028	35.11	81.71	3.08	38	1	Bacteria
TARA_MED_MAG_00088	337575	15	27708	33.10	80.33	1.73	41	0	Bacteria
TARA_MED_MAG_00089	1333209	58	29653	34.43	80.39	1.88	29	0	Bacteria
TARA_MED_MAG_00090	2141649	249	11066	38.16	78.70	0.63	33	0	Bacteria
TARA_MED_MAG_00091	1929551	327	6976	37.86	81.04	3.08	40	0	Bacteria
TARA_MED_MAG_00092	1407426	188	9597	35.40	80.70	2.84	34	0	Bacteria
TARA_MED_MAG_00093	1206176	73	30768	30.79	81.06	3.53	38	0	Bacteria
TARA_MED_MAG_00094	1502839	277	5515	40.64	84.50	7.01	41	0	Bacteria
TARA_MED_MAG_00096	778050	110	8674	34.41	77.04	0.76	35	1	Bacteria
TARA_MED_MAG_00097	982411	168	6725	36.08	79.83	4.74	35	0	Bacteria
TARA_MED_MAG_00098	1290602	206	7497	35.68	75.30	1.12	32	1	Bacteria
TARA_MED_MAG_00099	665338	90	10158	36.08	74.26	0.41	34	0	Bacteria
TARA_MED_MAG_00100	1550195	177	12843	32.02	74.40	0.63	35	0	Bacteria
TARA_MED_MAG_00101	1246628	251	5323	31.29	77.53	4.12	38	1	Bacteria
TARA_MED_MAG_00102	1450688	331	4572	42.15	77.42	4.09	36	0	Bacteria
TARA_MED_MAG_00103	1716554	286	7097	47.10	77.89	5.14	36	0	Bacteria
TARA_MED_MAG_00104	740412	24	44416	28.94	77.02	4.57	39	0	Bacteria
TARA_MED_MAG_00105	1782733	302	7095	55.17	73.76	1.57	33	0	Bacteria
TARA_MED_MAG_00106	1589419	253	7213	31.27	74.58	2.62	34	2	Bacteria
TARA_MED_MAG_00107	623266	29	31994	29.18	74.15	2.35	34	0	Bacteria
TARA_MED_MAG_00108	1248452	232	5751	55.09	75.02	3.31	35	0	Bacteria
TARA_MED_MAG_00110	890789	64	17006	35.85	71.86	0.41	25	0	Bacteria
TARA_MED_MAG_00111	848198	133	6958	34.80	73.64	2.35	39	0	Bacteria
TARA_MED_MAG_00112	977435	122	10085	32.79	74.33	3.11	33	2	Bacteria
TARA_MED_MAG_00113	753160	20	58192	29.90	75.18	3.97	37	0	Bacteria
TARA_MED_MAG_00114	982178	49	33144	40.10	71.64	0.80	27	0	Bacteria
TARA_MED_MAG_00115	1158634	203	6276	36.10	77.12	6.31	37	0	Bacteria
TARA_MED_MAG_00116	798962	32	29016	28.68	73.06	2.39	35	0	Bacteria
TARA_MED_MAG_00117	1374490	100	19060	43.05	73.08	2.61	27	0	Bacteria
TARA_MED_MAG_00118	365980	53	10243	30.45	70.84	0.92	36	0	Bacteria
TARA_MED_MAG_00119	1249671	137	10464	32.57	75.01	5.10	35	1	Bacteria
TARA_MED_MAG_00120	1029395	95	14287	43.51	71.88	2.10	28	0	Bacteria
TARA_MED_MAG_00121	1782252	385	4857	36.47	72.12	2.39	34	1	Bacteria
TARA_MED_MAG_00122	868207	63	25799	26.55	73.25	3.75	38	0	Bacteria
TARA_MED_MAG_00123	988523	174	6390	36.78	70.27	1.39	32	0	Bacteria
TARA_MED_MAG_00124	1219567	211	6082	35.13	74.56	6.06	33	2	Bacteria
TARA_MED_MAG_00125	1209509	115	17262	54.50	70.14	1.79	33	0	Bacteria
TARA_MED_MAG_00126	2462032	425	6433	51.26	73.42	5.35	26	1	Bacteria
TARA_MED_MAG_00127	2355500	260	12033	53.42	72.86	4.83	22	0	Bacteria
TARA_MED_MAG_00128	2425035	432	6172	38.87	69.02	1.44	32	0	Bacteria
TARA_MED_MAG_00129	2402393	453	5658	38.03	71.21	3.94	30	4	Bacteria
TARA_MED_MAG_00130	1710823	356	4950	49.82	71.54	4.49	32	0	Bacteria
TARA_MED_MAG_00131	2598506	321	10039	65.10	72.73	6.26	25	2	Bacteria
TARA_MED_MAG_00132	2055643	312	7334	46.80	65.60	4.11	32	1	Bacteria
TARA_MED_MAG_00133	2339957	449	5784	38.84	62.31	3.45	31	2	Bacteria
TARA_MED_MAG_00134	2282688	540	4159	50.51	57.09	0.00	32	0	Bacteria
TARA_MED_MAG_00135	2035025	369	5975	32.67	58.47	4.77	26	1	Bacteria
TARA_MED_MAG_00136	2052314	297	7967	38.22	59.85	8.90	17	3	Bacteria
TARA_MED_MAG_00137	3110655	438	8949	45.10	33.07	3.82	7	0	Bacteria
TARA_MED_MAG_00138	2515313	526	5135	45.68	28.24	1.99	5	0	Bacteria
TARA_MED_MAG_00139	3108602	498	7117	40.23	27.17	2.91	3	0	Bacteria
TARA_MED_MAG_00142	3019715	463	7810	41.05	18.15	0.63	2	0	Bacteria
TARA_PON_MAG_00001	3583974	49	136290	57.17	98.69	5.18	43	0	Bacteria
TARA_PON_MAG_00002	1772523	7	468503	46.22	95.94	2.95	43	0	Bacteria
TARA_PON_MAG_00003	2821876	59	77452	45.32	97.43	4.56	43	0	Bacteria
TARA_PON_MAG_00004	1745536	72	36072	41.08	97.30	4.60	43	0	Bacteria
TARA_PON_MAG_00005	2736532	20	251316	43.54	97.62	5.22	42	0	Bacteria
TARA_PON_MAG_00006	8701567	799	14889	70.90	97.12	6.74	42	1	Bacteria
TARA_PON_MAG_00007	1496682	74	31568	29.26	94.70	4.38	42	0	Bacteria
TARA_PON_MAG_00008	1922892	70	41988	39.57	95.68	5.81	42	0	Bacteria
TARA_PON_MAG_00009	1930128	62	58079	43.07	92.43	2.84	41	0	Bacteria
TARA_PON_MAG_00010	2243843	28	133836	41.79	93.63	4.38	43	0	Bacteria
TARA_PON_MAG_00011	3391906	130	47289	51.82	93.38	4.20	41	0	Bacteria
TARA_PON_MAG_00012	1463332	101	30088	29.78	92.26	3.13	43	0	Bacteria
TARA_PON_MAG_00013	10152466	260	64027	51.24	97.12	8.07	41	2	Bacteria
TARA_PON_MAG_00014	700833	26	100982	33.31	89.36	1.54	40	0	Bacteria
TARA_PON_MAG_00015	4804116	321	20304	52.74	94.27	7.79	41	2	Bacteria
TARA_PON_MAG_00016	1472662	64	36118	28.30	88.90	2.84	38	0	Bacteria
TARA_PON_MAG_00017	857414	37	34155	47.47	87.29	1.36	38	0	Bacteria
TARA_PON_MAG_00018	1461293	145	12687	42.19	86.88	1.48	37	1	Bacteria
TARA_PON_MAG_00019	2458233	60	70732	36.53	86.78	1.39	34	0	Bacteria
TARA_PON_MAG_00020	2273200	247	11801	35.43	87.82	2.76	36	0	Bacteria
TARA_PON_MAG_00021	3638235	287	18197	62.58	92.96	8.54	39	2	Bacteria
TARA_PON_MAG_00022	5858080	562	14043	68.06	90.29	6.46	39	0	Bacteria
TARA_PON_MAG_00023	4291755	138	48897	52.40	89.71	6.12	30	1	Bacteria
TARA_PON_MAG_00024	1817447	31	72262	67.41	89.39	6.26	41	1	Bacteria
TARA_PON_MAG_00025	2557562	338	9449	67.26	86.13	3.87	35	1	Bacteria
TARA_PON_MAG_00026	2180211	214	13037	46.86	84.95	3.13	39	0	Bacteria
TARA_PON_MAG_00027	3160434	619	5545	31.90	82.87	1.57	35	2	Bacteria
TARA_PON_MAG_00028	5555538	134	65956	53.69	86.78	5.63	36	0	Bacteria
TARA_PON_MAG_00029	3024430	517	6711	53.15	84.82	4.05	38	1	Bacteria
TARA_PON_MAG_00030	1274257	140	11749	52.94	84.39	4.16	39	0	Bacteria
TARA_PON_MAG_00031	1776304	349	5554	50.64	79.30	0.36	37	0	Bacteria
TARA_PON_MAG_00032	2803374	574	5156	42.90	80.74	2.17	36	0	Bacteria
TARA_PON_MAG_00034	2117274	449	4842	65.42	82.03	4.11	37	1	Bacteria
TARA_PON_MAG_00035	1227576	229	6061	38.07	81.34	3.56	33	2	Bacteria
TARA_PON_MAG_00036	1543517	179	12035	30.26	81.24	3.93	29	0	Bacteria
TARA_PON_MAG_00037	797999	17	88068	44.44	77.60	0.92	35	1	Bacteria
TARA_PON_MAG_00038	1532647	197	9670	47.22	82.46	5.81	37	1	Bacteria
TARA_PON_MAG_00039	2282633	255	10555	45.00	79.46	2.93	34	2	Bacteria
TARA_PON_MAG_00040	743946	18	58551	29.35	80.80	4.78	38	0	Bacteria
TARA_PON_MAG_00041	1997685	110	24374	48.67	75.62	0.85	37	0	Bacteria
TARA_PON_MAG_00042	2277919	232	13751	47.35	80.10	5.56	27	0	Bacteria
TARA_PON_MAG_00043	1912945	45	85777	61.64	75.64	1.25	28	0	Bacteria
TARA_PON_MAG_00044	579175	73	10040	49.69	76.03	1.72	32	0	Bacteria
TARA_PON_MAG_00046	1436968	183	10205	28.90	78.48	4.63	33	2	Bacteria
TARA_PON_MAG_00048	1077837	104	13584	51.99	76.31	4.53	29	0	Bacteria
TARA_PON_MAG_00050	2090795	336	7220	50.15	72.94	1.61	37	0	Bacteria
TARA_PON_MAG_00051	1040644	188	6190	31.53	73.57	2.57	36	0	Bacteria
TARA_PON_MAG_00052	1019374	72	18868	52.23	71.66	1.10	38	1	Bacteria
TARA_PON_MAG_00053	2639996	99	41184	58.70	73.64	3.35	39	0	Bacteria
TARA_PON_MAG_00054	1645789	82	70625	40.90	72.98	3.55	28	1	Bacteria
TARA_PON_MAG_00055	1781940	345	5767	55.12	72.77	4.56	31	0	Bacteria
TARA_PON_MAG_00056	3837900	124	43895	60.59	68.02	1.25	34	0	Bacteria
TARA_PON_MAG_00057	635718	66	12772	37.19	70.01	3.53	40	0	Bacteria
TARA_PON_MAG_00058	2056034	338	7002	47.44	72.67	6.60	24	5	Bacteria
TARA_PON_MAG_00059	3542497	661	5880	52.94	66.87	2.98	30	0	Bacteria
TARA_PON_MAG_00060	4635266	1042	4600	64.37	67.58	5.65	31	1	Bacteria
TARA_PON_MAG_00061	4476822	195	44594	44.51	64.89	4.27	27	0	Bacteria
TARA_PON_MAG_00062	3636857	597	7404	52.22	60.34	4.52	27	3	Bacteria
TARA_PON_MAG_00063	2595125	552	4801	56.74	59.09	3.83	24	0	Bacteria
TARA_PON_MAG_00064	2165453	439	5200	46.47	57.99	4.67	20	0	Bacteria
TARA_PON_MAG_00065	3622631	339	14833	60.23	56.52	3.77	19	0	Bacteria
TARA_PON_MAG_00066	3199981	576	5995	65.10	51.31	2.93	14	0	Bacteria
TARA_PON_MAG_00067	3430711	532	7961	54.85	50.92	3.28	19	0	Bacteria
TARA_PON_MAG_00068	3654749	846	4354	52.02	50.21	3.35	20	0	Bacteria
TARA_PON_MAG_00069	2036487	269	10422	31.25	41.29	3.33	6	0	Bacteria
TARA_PON_MAG_00070	2003204	528	3719	53.12	39.22	2.11	15	1	Bacteria
TARA_PON_MAG_00071	2607205	418	7031	54.59	36.82	1.44	6	0	Bacteria
TARA_PON_MAG_00072	2332818	69	180301	54.40	36.53	1.26	5	0	Bacteria
TARA_PON_MAG_00073	2024979	276	8625	57.76	36.69	2.95	12	0	Bacteria
TARA_PON_MAG_00075	5204906	657	10010	63.86	34.91	3.96	8	0	Bacteria
TARA_PON_MAG_00076	2710859	549	5133	65.53	31.57	1.25	9	0	Bacteria
TARA_PON_MAG_00077	2456520	476	5484	38.71	32.03	2.44	7	0	Bacteria
TARA_PON_MAG_00080	3162381	379	10591	61.44	27.40	1.48	4	0	Bacteria
TARA_PON_MAG_00081	2208864	420	5578	43.86	27.04	3.02	11	0	Bacteria
TARA_PON_MAG_00084	3339717	676	5178	58.30	17.75	0.58	4	0	Bacteria
TARA_PON_MAG_00085	2057475	148	23342	52.06	18.07	1.80	1	0	Bacteria
TARA_PON_MAG_00086	2081417	408	5631	66.27	13.90	0.00	1	0	Bacteria
TARA_PON_MAG_00087	2281455	415	5812	33.70	11.69	0.72	5	0	Bacteria
TARA_PON_MAG_00088	2391730	619	3846	56.20	9.69	0.18	3	0	Bacteria
TARA_PSE_MAG_00001	3950680	51	190794	42.70	98.47	2.84	43	0	Bacteria
TARA_PSE_MAG_00002	3411210	71	79530	65.41	98.65	3.02	42	1	Bacteria
TARA_PSE_MAG_00003	2040770	38	76474	46.63	96.63	1.14	43	0	Bacteria
TARA_PSE_MAG_00004	2201353	36	109729	45.17	98.87	3.57	43	0	Bacteria
TARA_PSE_MAG_00005	3339769	27	213812	31.83	98.47	3.93	43	0	Bacteria
TARA_PSE_MAG_00006	3399122	20	258513	35.60	98.24	3.75	43	0	Bacteria
TARA_PSE_MAG_00007	3338622	81	72973	36.04	97.84	3.75	42	0	Bacteria
TARA_PSE_MAG_00008	3594348	138	41393	62.59	98.42	4.38	43	0	Bacteria
TARA_PSE_MAG_00009	3639767	22	236768	43.58	97.44	3.57	43	0	Bacteria
TARA_PSE_MAG_00010	4593238	88	101948	65.66	98.51	4.78	43	0	Bacteria
TARA_PSE_MAG_00011	1694098	195	11192	38.33	95.50	1.77	42	0	Bacteria
TARA_PSE_MAG_00012	2336488	15	203211	42.79	98.29	5.05	43	0	Bacteria
TARA_PSE_MAG_00013	3509141	32	160470	33.53	98.69	5.47	42	1	Bacteria
TARA_PSE_MAG_00014	6116266	194	50752	42.71	97.07	3.93	43	0	Bacteria
TARA_PSE_MAG_00015	5166000	380	21185	69.51	98.20	5.32	43	0	Bacteria
TARA_PSE_MAG_00016	6084730	128	83329	68.40	98.24	5.41	42	1	Bacteria
TARA_PSE_MAG_00017	1223865	59	31666	35.59	97.25	4.42	42	0	Bacteria
TARA_PSE_MAG_00018	4269232	55	104205	43.43	96.72	3.93	43	0	Bacteria
TARA_PSE_MAG_00019	2468928	122	30665	40.39	97.39	4.60	43	0	Bacteria
TARA_PSE_MAG_00020	1549255	133	16075	34.15	96.89	4.16	43	0	Bacteria
TARA_PSE_MAG_00021	1334008	77	23968	37.55	96.52	4.42	41	0	Bacteria
TARA_PSE_MAG_00022	3894688	309	18012	64.23	94.25	2.17	42	0	Bacteria
TARA_PSE_MAG_00023	3996378	258	21807	67.81	96.53	4.51	42	0	Bacteria
TARA_PSE_MAG_00024	4253894	104	69863	67.74	97.48	5.59	42	0	Bacteria
TARA_PSE_MAG_00025	2973798	221	22040	43.14	95.77	4.09	42	0	Bacteria
TARA_PSE_MAG_00026	3973211	48	122827	48.39	98.29	6.77	43	0	Bacteria
TARA_PSE_MAG_00027	3567538	252	21492	55.07	96.85	5.36	43	0	Bacteria
TARA_PSE_MAG_00028	2537395	112	37006	62.62	95.22	3.95	43	0	Bacteria
TARA_PSE_MAG_00029	3108578	86	146224	63.71	95.82	4.60	42	0	Bacteria
TARA_PSE_MAG_00030	5288165	226	51046	54.46	98.33	7.40	43	0	Bacteria
TARA_PSE_MAG_00031	1412199	153	12215	30.68	95.19	4.42	42	0	Bacteria
TARA_PSE_MAG_00032	2853715	146	33829	35.93	93.42	3.08	42	0	Bacteria
TARA_PSE_MAG_00033	1412137	64	30767	31.54	92.85	3.57	42	0	Bacteria
TARA_PSE_MAG_00034	4634551	164	50242	65.84	96.45	7.57	40	0	Bacteria
TARA_PSE_MAG_00035	3384971	459	9032	63.25	94.00	5.44	41	0	Bacteria
TARA_PSE_MAG_00036	3841746	412	12723	68.65	93.34	4.81	39	0	Bacteria
TARA_PSE_MAG_00037	10717318	691	22203	71.82	94.95	6.55	40	1	Bacteria
TARA_PSE_MAG_00038	2044754	105	30983	45.58	94.08	6.64	41	0	Bacteria
TARA_PSE_MAG_00039	8212457	1235	7769	73.95	92.27	6.31	39	1	Bacteria
TARA_PSE_MAG_00040	2900708	274	15160	65.61	92.86	8.04	40	0	Bacteria
TARA_PSE_MAG_00041	1114913	120	11580	50.90	87.51	2.84	41	0	Bacteria
TARA_PSE_MAG_00042	4347149	468	12585	57.20	87.81	3.34	34	0	Bacteria
TARA_PSE_MAG_00043	921904	62	18654	31.34	91.79	7.39	38	2	Bacteria
TARA_PSE_MAG_00044	3800051	380	13575	58.72	88.28	4.23	41	0	Bacteria
TARA_PSE_MAG_00045	1519890	195	9894	52.09	88.23	4.18	39	0	Bacteria
TARA_PSE_MAG_00046	1919891	218	12506	51.58	92.72	9.60	38	1	Bacteria
TARA_PSE_MAG_00047	818217	65	18087	34.60	82.74	0.00	36	0	Bacteria
TARA_PSE_MAG_00048	2529742	431	6447	46.44	83.90	1.39	36	1	Bacteria
TARA_PSE_MAG_00049	2724377	380	8532	52.61	87.07	4.89	39	0	Bacteria
TARA_PSE_MAG_00050	1485589	58	46099	30.44	85.66	4.16	30	0	Bacteria
TARA_PSE_MAG_00051	1275451	94	19580	36.82	85.29	3.97	38	0	Bacteria
TARA_PSE_MAG_00052	1753804	266	7901	46.21	87.03	6.10	42	0	Bacteria
TARA_PSE_MAG_00053	1488994	49	57476	44.90	81.51	1.14	38	0	Bacteria
TARA_PSE_MAG_00054	1170469	242	5008	37.55	81.11	1.54	33	0	Bacteria
TARA_PSE_MAG_00055	1963282	374	5602	63.83	87.24	7.73	30	2	Bacteria
TARA_PSE_MAG_00056	1247442	122	13528	30.34	86.30	6.87	40	1	Bacteria
TARA_PSE_MAG_00057	1223860	88	17524	29.24	83.99	4.74	39	0	Bacteria
TARA_PSE_MAG_00058	2520336	203	17526	68.65	83.97	4.87	31	0	Bacteria
TARA_PSE_MAG_00059	845754	74	15240	31.94	80.42	1.84	36	0	Bacteria
TARA_PSE_MAG_00060	5682160	655	10913	49.98	83.02	4.69	36	0	Bacteria
TARA_PSE_MAG_00062	1590745	290	6162	36.97	78.40	1.10	37	0	Bacteria
TARA_PSE_MAG_00063	1020891	219	4874	29.63	78.96	1.72	35	0	Bacteria
TARA_PSE_MAG_00065	4506238	865	5578	34.00	84.26	7.24	39	0	Bacteria
TARA_PSE_MAG_00066	2401571	304	10087	57.30	83.14	6.28	37	1	Bacteria
TARA_PSE_MAG_00067	3908052	352	15220	66.29	82.27	5.73	30	1	Bacteria
TARA_PSE_MAG_00068	2505860	380	7923	40.94	81.65	5.25	34	0	Bacteria
TARA_PSE_MAG_00069	2036447	258	9593	67.26	78.48	2.88	32	1	Bacteria
TARA_PSE_MAG_00071	1594608	177	12189	42.36	75.83	1.25	36	0	Bacteria
